#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
10000,19.999999999999794,-122.41403198242188,51.40106964111328,-71.0129623413086,242.43638029222996
20000,40.00000000000292,-96.33273315429688,88.7960433959961,-7.536689758300781,418.8121277534334
30000,60.00000000002736,-116.87542724609375,66.85567474365234,-50.019752502441406,315.32899801527714
40000,79.99999999999496,-109.66360473632812,44.20581817626953,-65.4577865600586,208.49952386864635
50000,99.99999999994834,-109.6734619140625,57.024269104003906,-52.649192810058594,268.9585544991652
60000,119.99999999990173,-122.39898681640625,64.58182525634766,-57.817161560058594,304.60424378583286
70000,139.99999999994037,-137.94473266601562,48.60075759887695,-89.34397506713867,229.2285322853959
80000,160.00000000003587,-107.34237670898438,69.37208557128906,-37.97029113769531,327.19780807390003
90000,180.00000000013137,-112.44638061523438,59.87950134277344,-52.56687927246094,282.4254370697819
100000,200.00000000022686,-105.68667602539062,53.56100082397461,-52.125675201416016,252.62383166842417
110000,220.00000000032236,-107.8096923828125,57.341522216796875,-50.468170166015625,270.4548987744689
120000,240.00000000041786,-95.3470458984375,46.286712646484375,-49.060333251953125,218.3141936148473
130000,260.00000000051335,-127.83621215820312,54.45355224609375,-73.38265991210938,256.8336066305812
140000,280.00000000060885,-130.69970703125,79.69285583496094,-51.00685119628906,375.8763706412237
150000,300.00000000070435,-128.53317260742188,57.53659439086914,-70.99657821655273,271.37496896187974
160000,320.00000000079984,-113.126953125,67.2654800415039,-45.861473083496094,317.2618704969082
170000,340.00000000089534,-117.78964233398438,92.67047882080078,-25.119163513183594,437.0861463025402
180000,360.00000000099084,-92.75540161132812,100.73858642578125,7.983184814453125,475.1398836511335
190000,380.00000000108633,-115.04156494140625,60.25379943847656,-54.78776550292969,284.1908375975553
200000,400.00000000118183,-120.60073852539062,43.61980438232422,-76.9809341430664,205.73555292412377
210000,420.00000000127733,-121.59951782226562,69.86396789550781,-51.73554992675781,329.5178020165541
220000,440.0000000013728,-91.45947265625,62.45110321044922,-29.00836944580078,294.55455914263047
230000,460.0000000014683,-114.32867431640625,64.42584991455078,-49.90282440185547,303.86857626871506
